Item,Description,Quantity,Unit Price,Total Price,URL,
,,,,,,
USB_C_Receptacle_USB2.0_16P,USBC Port J1,2,0.78,1.56,https://www.digikey.com/en/products/detail/gct/USB4105-GF-A-060/14559043?gclsrc=aw.ds&gad_source=1&gad_campaignid=17336967819&gbraid=0AAAAADrbLlid1x_cCbRT2qtap71lpHPOY&gclid=Cj0KCQiA9OnJBhD-ARIsAPV51xMl5sgzSZIxUtNny96FxysI81wMNIk8v0hZK4voecSAOeAsZDjmHqAaAiYIEALw_wcB,
4.7uf Capacitor,Cap C6,2,0.12,0.24,https://www.mouser.com/ProductDetail/TAIYO-YUDEN/LMK212BJ475KG-T?qs=sGAEpiMZZMsh%252B1woXyUXj7c1PCWacDCM6mxxZTi3ixU%3D,
0.1uF Capacitor,"Cap C3, C_GSR1",4,0.11,0.44,https://www.mouser.com/ProductDetail/581-06036C104JAT2A,
AKZYTUE 3.7V 40mAh 301020 Lipo Battery,Battery,2,7.29,14.58,https://www.amazon.com/AKZYTUE-Battery-Rechargeable-Lithium-Connector/dp/B07TWHGHW4/ref=sr_1_4?crid=1G5XEMWYKIUSV&dib=eyJ2IjoiMSJ9.DPceT9YAzPUFdSQpRfL50gPUPZUn1zSnrrS9VdLMQcJDZF64_Iq_sN8akR917DUdMEF3T-LshW270kgW6t1d1Me9ZfFwXcSd-_ajCcTwa6wO4zr7pXtHmyh4gSmq8WoYopUYvouEGk8Ju2-OIXDdAFc30XwyP2hk_fJVdRoUZ1qjS8JZ88jzBYL5Q2fsRbnBp4Y98c8ZCwGX8u5H550kWFmHgLcY2YIJpZbq22HdWoevzvOb2a-iHiol0XjmHRI8zICghNB1WKEp9McRgBEroxChhesdiTUhBvAVb71ozCU.ThcNgHwmyVxt6aAcg-vByft_-nhCheOwG1MfS3UJH8c&dib_tag=se&keywords=ultra+micro+lipo+battery+under+40+mah&qid=1765514292&s=electronics&sprefix=ultra+micro+lipo+battery+unde%2Celectronics%2C273&sr=1-4,
MDBT50Q-P1MV2,PCB MCU ,2,6,12,https://www.digikey.com/en/products/detail/raytac/MDBT50Q-P1MV2/13677599?gclsrc=aw.ds&gad_source=1&gad_campaignid=20228387720&gbraid=0AAAAADrbLlgvrrNRSRqrZ2v18Ed6vkLcL&gclid=CjwKCAiAxc_JBhA2EiwAFVs7XA93m4hipuMQA5mzPgOVDKRmU5Xd7B3-J2M8_kpqQstgVkBpI0hTfBoCOQQQAvD_BwE,
KYOCERA AVX KAM15CT70J226MT,Cap c1 and c2,2,0.46,0.92,https://www.mouser.com/ProductDetail/KYOCERA-AVX/KAM15CT70J226MT?qs=Tc%252BHE9vUsnt72L0VWwenIA%3D%3D,
Samsung Electro-Mechanics CL03A105MQ3CSWC,MCU CAPS ,18,0.065,1.17,https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL03A105MQ3CSWC?qs=xZ%2FP%252Ba9zWqbtAeKgSYF%252BnA%3D%3D,
36-5019TR-ND,Test points,2,0.37,0.74,https://www.digikey.com/en/products/detail/keystone-electronics/5019/3907344?gclsrc=aw.ds&gad_source=1&gad_campaignid=20228387720&gbraid=0AAAAADrbLli06gdYcS_giEfRUUOq7Z6rM&gclid=Cj0KCQiA9OnJBhD-ARIsAPV51xMLBpOfH9v2XCh9VgapR9ctHA97Aol0x-kmYwgTeEIpyybJVgod_XEaArbLEALw_wcB,
Draloric TNPU06034K70AZEN00,"resistors r1,r2",4,2.21,8.84,https://www.mouser.com/ProductDetail/71-TNPU06034K70AZEN0,
Panasonic ERA-3APB303V,resistor r3,2,0.24,0.48,https://www.mouser.com/ProductDetail/667-ERA-3APB303V,
Bourns CR0603-FX-5101ELF,"Resistor r4,r5",4,0.1,0.4,https://www.mouser.com/ProductDetail/652-CR0603FX-5101ELF,
Vishay / Beyschlag MCT06030C2203FP500,R_GSR resistor,2,0.1,0.2,https://www.mouser.com/ProductDetail/594-MCT06030C2203FP5,
Panasonic ERA-3AED104V,R_PROTECT,2,0.29,0.58,https://www.mouser.com/ProductDetail/667-ERA-3AED104V,
579-MCP1700T1802E/TT,LDO,2,0.51,1.02,https://www.mouser.com/ProductDetail/Microchip-Technology/MCP1700T-1802E-TT?qs=YUl711QUJY0TiDgzmNmFrg%3D%3D&srsltid=AfmBOoo4NOugID2AfiKyjX21ScDvdK7d90P9R9YKNp1bwGscPZ7niDOC,
579-MCP73831T-2ACIOT,charger,2,0.76,1.52,https://www.mouser.com/ProductDetail/Microchip-Technology/MCP73831T-2ACI-OT?qs=yUQqVecv4qvbBQBGbHx0Mw%3D%3D,
PCB,,5,,49.52,,
,,,,,,
DigiKey Merch Total,DigiKey Total,Mouser Merch Total,Mouser Total,Amazon Merch Total,Amazon Total,PCBWAY Total
14.3,44.6,15.81,24.23,14.58,23.08,49.52
,,,,,,
,,,,,,
,TOTAL:,,,,,
,DigiKey,44.6,,,,
,Mouser,24.23,,,,
,Amazon,23.08,,,,
,PCBWAY,49.52,,,,
,,,,,,
,FINAL PRICE:,141.43,,,,